"name","score","rank","gdp","gdppc"
"Afghanistan",48.9,163,62.3,1947
"Albania",64.4,65,32.7,11301
"Algeria",46.5,172,578.7,14504
"Angola",48.5,165,184.4,7344
"Argentina",50.4,156,972,22554
"Armenia",70.3,33,25.3,8468
"Australia",81,5,1138.1,47389
"Austria",72.3,30,404.3,47250
"Azerbaijan",63.6,68,169.4,17993
"Bahamas",61.1,90,9.2,25167
"Bahrain",68.5,44,64.8,50095
"Bangladesh",55,128,576.5,3607
"Barbados",54.5,130,4.6,16575
"Belarus",58.6,104,167.7,17654
"Belgium",67.8,49,494.1,43585
"Belize",58.6,101,3,8373
"Benin",59.2,96,22.9,2113
"Bhutan",58.4,107,6.4,8201
"Bolivia",47.7,168,74.4,6465
"Bosnia and Herzegovina",60.2,92,40.5,10492
"Botswana",70.1,34,34.8,16368
"Brazil",52.9,140,3192.4,15615
"Brunei Darussalam",69.8,35,33.2,79587
"Bulgaria",67.9,47,136.9,19097
"Burkina Faso",59.6,93,30.9,1724
"Burma",52.5,146,283.5,5469
"Burundi",53.2,139,7.7,819
"Cabo Verde",56.9,116,3.4,6522
"Cambodia",59.5,94,54.2,3488
"Cameroon",51.8,150,72.6,3144
"Canada",78.5,7,1631.9,45553
"Central African Republic",51.8,151,3,630
"Chad",49,162,30.5,2634
"Chile",76.5,10,422.4,23460
"China",57.4,111,19392.4,14107
"Colombia",69.7,37,667.4,13847
"Comoros",55.8,121,1.2,1519
"Congo, Democratic Republic of the Congo",56.4,117,62.9,770
"Congo, Republic of",40,177,29.4,6722
"Costa Rica",65,63,74.9,15482
"Côte d'Ivoire",63,75,78.6,3316
"Croatia",59.4,95,91.1,21581
"Cuba",33.9,178,141.5,12580
"Cyprus",67.9,48,28.1,32786
"Czech Republic",73.3,28,332.5,31550
"Denmark",75.1,18,258.7,45709
"Djibouti",46.7,171,3.1,3204
"Dominica",63.7,67,0.8,10788
"Dominican Republic",62.9,76,149.7,14984
"Ecuador",49.3,160,183.4,11264
